DATE,GFDEBTN
1966-01-01,322790.750000000000
1967-01-01,333599.750000000000
1968-01-01,351903.500000000000
1969-01-01,360338.000000000000
1970-01-01,377484.250000000000
1971-01-01,406343.000000000000
1972-01-01,434049.500000000000
1973-01-01,461402.500000000000
1974-01-01,480510.000000000000
1975-01-01,543285.750000000000
1976-01-01,627291.500000000000
1977-01-01,690353.750000000000
1978-01-01,761931.500000000000
1979-01-01,818335.000000000000
1980-01-01,894744.000000000000
1981-01-01,990572.250000000000
1982-01-01,1120009.500000000000
1983-01-01,1337996.750000000000
1984-01-01,1552917.750000000000
1985-01-01,1813604.000000000000
1986-01-01,2096576.000000000000
1987-01-01,2334503.000000000000
1988-01-01,2580445.500000000000
1989-01-01,2837811.500000000000
1990-01-01,3198461.250000000000
1991-01-01,3617544.500000000000
1992-01-01,4026893.500000000000
1993-01-01,4382426.500000000000
1994-01-01,4678642.750000000000
1995-01-01,4944534.000000000000
1996-01-01,5206711.250000000000
1997-01-01,5418143.750000000000
1998-01-01,5557692.750000000000
1999-01-01,5680689.250000000000
2000-01-01,5698931.250000000000
2001-01-01,5812864.500000000000
2002-01-01,6191611.000000000000
2003-01-01,6728045.250000000000
2004-01-01,7345149.750000000000
2005-01-01,7929139.500000000000
2006-01-01,8494599.000000000000
2007-01-01,8988541.750000000000
2008-01-01,9913532.500000000000
2009-01-01,11723348.250000000000
2010-01-01,13390438.000000000000
2011-01-01,14656620.250000000000
2012-01-01,15990131.250000000000
2013-01-01,16851000.000000000000
2014-01-01,17799837.000000000000
2015-01-01,18344212.750000000000
2016-01-01,19549200.500000000000
2017-01-01,20107155.250000000000
2018-01-01,21443716.750000000000
2019-01-01,22492986.250000000000
